                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.1709,                0.89371,                 1.5405,                  1.209,                 1.1182,                 1.6173,                0.73774,                0.83333,                0.85605,                0.61532,                 1.0205,                0.74019,                 1.5571,                 1.0793,                0.91135,                  1.634,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.0882,                0.81238,                  1.458,                 1.1798,                  1.046,                 1.5267,                0.75602,                0.77474,                0.80668,                0.55225,                 1.0695,                0.89859,                  1.582,                 1.1395,                 1.1555,                 1.7027,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.0605,                0.83059,                 1.4645,                   1.17,                  1.025,                  1.529,                 0.8428,                0.73333,                0.82694,                0.57333,                 1.1274,                0.84619,                 1.5906,                 1.1636,                 1.0766,                 1.6699,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.0873,                 0.8578,                 1.5058,                 1.1866,                 1.0001,                 1.5515,                0.79402,                    0.8,                0.87477,                0.61605,                 1.0203,                0.73507,                 1.6013,                 1.0855,                0.87794,                 1.6459,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.1144,                 0.8263,                 1.4959,                 1.1912,                  0.985,                 1.5322,                0.74178,                0.86667,                0.85028,                 0.6158,                 1.0619,                0.78374,                 1.5964,                 1.0882,                0.90938,                 1.6349,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.0628,                 0.8215,                 1.4951,                  1.152,                0.96024,                 1.5618,                0.69364,                0.75477,                0.78303,                0.56467,                0.99103,                0.77651,                 1.5415,                 1.0405,                0.98877,                 1.6018,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.1315,                0.84634,                 1.4843,                  1.216,                 1.0497,                 1.5493,                 0.9198,                   0.65,                0.83602,                0.59859,                 1.0531,                0.78153,                 1.6093,                 1.0599,                0.90577,                 1.5874,               0.001208,               0.001208,               0.001208
                     83,                 1.1445,                0.88074,                 1.5243,                 1.1979,                 1.0828,                 1.5502,                0.80033,                0.83333,                0.89647,                0.62774,                 1.0327,                0.74017,                 1.5613,                   1.13,                0.81642,                 1.6332,              0.0011981,              0.0011981,              0.0011981
                     84,                  1.103,                 0.8598,                 1.5135,                   1.18,                 1.0423,                  1.534,                0.92577,                 0.8315,                0.91738,                0.67523,                0.96975,                0.72567,                 1.5244,                  1.005,                0.76622,                 1.5966,              0.0011882,              0.0011882,              0.0011882
                     85,                0.99794,                0.75496,                  1.408,                  1.082,                0.91101,                  1.453,                0.88636,                0.78333,                0.87972,                0.63532,                0.98993,                0.73866,                 1.4997,                 1.0596,                0.88764,                 1.5886,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.1071,                0.84119,                 1.4822,                 1.2042,                 1.0145,                 1.5352,                0.69305,                0.79032,                0.84905,                0.58631,                 1.0665,                0.78716,                 1.5364,                  1.191,                0.88789,                 1.6946,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.0554,                0.80969,                 1.4469,                 1.1297,                 0.9601,                 1.5022,                  0.836,                0.76469,                0.85809,                0.62402,                0.97793,                0.72414,                 1.5069,                 1.0466,                0.86544,                 1.6067,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.1808,                0.88744,                 1.5956,                 1.2468,                 1.1011,                 1.6277,                 0.8358,                    0.7,                0.84231,                0.58755,                 1.1409,                0.69899,                 1.6297,                 1.1525,                0.85347,                 1.6389,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.0613,                0.80474,                  1.487,                 1.1298,                 0.9729,                 1.5377,                0.84736,                0.83273,                0.86773,                 0.6205,                  1.033,                0.78535,                 1.5984,                 1.0634,                0.94053,                 1.6259,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.0751,                0.83126,                 1.4261,                 1.1581,                 1.0092,                 1.4766,                0.64045,                0.77193,                0.77959,                 0.5821,                 1.1001,                 1.1383,                 1.6216,                 1.0738,                 1.0636,                 1.6515,              0.0011288,              0.0011288,              0.0011288
                     91,                  1.029,                0.78649,                 1.4803,                 1.1148,                0.97171,                 1.5291,                0.83778,                0.88333,                0.90323,                0.58862,                 1.2827,                 0.8462,                 1.7768,                 1.2678,                0.85889,                 1.8084,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.0455,                0.79555,                 1.4396,                 1.1159,                0.92176,                 1.4982,                0.72912,                0.80758,                0.86879,                0.64718,                 1.0562,                0.77258,                 1.5813,                 1.0633,                0.82458,                 1.5681,               0.001109,               0.001109,               0.001109
                     93,                 1.1097,                0.83722,                 1.4833,                 1.2329,                0.98178,                 1.5612,                 0.8406,                0.81667,                0.87979,                0.67425,                0.93735,                0.72203,                 1.4895,                0.97385,                0.80105,                 1.5374,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.0385,                0.78992,                 1.4514,                 1.1151,                0.91352,                 1.4829,                0.81233,                0.76667,                0.84634,                0.64207,                0.94181,                0.75788,                 1.5103,                 0.9638,                0.85293,                 1.5201,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.0199,                0.77057,                 1.4195,                 1.0832,                0.89035,                  1.464,                0.77539,                    0.8,                0.87377,                0.68061,                0.86803,                0.67521,                 1.4381,                0.94533,                0.78235,                 1.5239,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.0012,                0.76164,                  1.429,                 1.0984,                0.88036,                 1.4768,                0.81983,                0.78333,                0.85436,                0.62554,                 1.0145,                0.68534,                 1.5022,                 1.0681,                 0.8026,                 1.5505,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.0793,                0.84712,                 1.4492,                 1.1639,                 1.0192,                 1.5219,                0.80233,                0.74422,                0.83397,                0.59999,                 1.1117,                0.80198,                 1.5783,                 1.0818,                0.87667,                 1.5776,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.0148,                0.74313,                 1.4139,                  1.027,                0.89423,                 1.4413,                0.83261,                0.74618,                 0.8506,                0.60541,                 1.0226,                0.73094,                 1.5127,                 1.1725,                0.75371,                 1.6279,              0.0010496,              0.0010496,              0.0010496
                     99,                0.96744,                0.73347,                 1.3909,                 1.0541,                0.87384,                 1.4272,                0.81606,                   0.85,                0.90748,                0.67565,                 1.0057,                0.63599,                  1.516,                 1.0141,                0.67154,                 1.5305,              0.0010397,              0.0010397,              0.0010397
                    100,                0.97139,                0.74057,                 1.3631,                 1.0408,                0.87544,                 1.4026,                0.72179,                    0.9,                0.85735,                0.65857,                0.92339,                0.65304,                 1.4453,                0.97836,                 0.7715,                 1.5062,              0.0010298,              0.0010298,              0.0010298
